n,p,N,mean,std,se,b,b/a,ci_low,ci_high
10,0.5,30,0.0001455889333333349,9.169939137668402e-06,1.6741941722168182e-06,2.8444558985963742e-06,0.019537583204101205,0.00014274447743473851,0.00014843338923193128
20,0.5,30,0.0003595986000000023,2.8365543202006776e-05,5.178815955875477e-06,8.798808309032435e-06,0.02446841647612749,0.0003507997916909699,0.0003683974083090347
40,0.5,30,0.0010499346666666659,8.325807651092458e-05,1.5200775533174804e-05,2.5826117630863993e-05,0.024597833037418214,0.0010241085490358018,0.00107576078429753
50,0.5,30,0.0015001067333333313,9.75907395737336e-05,1.781754982271533e-05,3.0272017148793345e-05,0.020179908853236745,0.001469834716184538,0.0015303787504821246
100,0.5,30,0.005184420866666663,0.00015491002565509737,2.8282571811666943e-05,4.8052089508022135e-05,0.009268554915549777,0.005136368777158641,0.005232472956174686
200,0.5,30,0.019137466633333336,0.0003055590995373917,5.578720382253193e-05,9.478245929448175e-05,0.004952717154808315,0.019042684174038853,0.01923224909262782
400,0.5,30,0.07621337506666671,0.00439893315419855,0.0008031316391706322,0.0013645206549509042,0.017903952603559502,0.0748488544117158,0.07757789572161762
800,0.5,30,0.30652558753333314,0.002067890207909243,0.0003775433711053134,0.0006414461875079275,0.0020926350477614643,0.3058841413458252,0.3071670337208411
1200,0.5,12,0.2789667950833336,0.013998072675708045,0.0040408955137279925,0.006865481477823859,0.024610389475826278,0.27210131360550976,0.28583227656115745
2000,0.5,12,0.7940528472499994,0.011037348527332666,0.0031862080716976173,0.005413367513814252,0.006817389462882826,0.7886394797361851,0.7994662147638136
3000,0.5,6,1.8249973819999994,0.04512488750924323,0.018422158183022678,0.031299246752955534,0.017150296795853455,1.7936981352470438,1.856296628752955
